"","markers","cell"
"2708","ADAM3","mic"
"2709","SLC16A10","mic"
"2710","A430093F15RIK","mic"
"2711","CD36","mic"
"2712","TMEM52","mic"
"2713","CCL7","mic"
"2714","CTSE","mic"
"2715","RP23-393G8.5","mic"
"2716","GM36638","mic"
"2717","CYFIP1","mic"
"2718","CFLAR","mic"
"2719","S100A8","mic"
"2720","ADAM33","mic"
"2721","MSR1","mic"
"2722","GM6277","mic"
"2723","GM11464","mic"
"2724","RP23-427B4.2","mic"
"2725","RAB39","mic"
"2726","AI662270","mic"
"2727","2510039O18RIK","mic"
"2728","GM8093","mic"
"2729","VAMP8","mic"
"2730","VPS18","mic"
"2731","TULP2","mic"
"2732","CLTA","mic"
"2733","TLCD2","mic"
"2734","GM37125","mic"
"2735","DOK2","mic"
"2736","PMEPA1","mic"
"2737","RREB1","mic"
"2738","SIPA1","mic"
"2739","SLC15A4","mic"
"2740","2210016F16RIK","mic"
"2741","MATK","mic"
"2742","PYROXD2","mic"
"2743","AFP","mic"
"2744","IFI202B","mic"
"2745","ZEB2OS","mic"
"2746","GM3739","mic"
"2747","PAG1","mic"
"2748","GM38317","mic"
"2749","SFMBT1","mic"
"2750","B930036N10RIK","mic"
"2751","SPATA13","mic"
"2752","TCOF1","mic"
"2753","TMEM86A","mic"
"2754","CD72","mic"
"2755","VIS1","mic"
"2756","QRFP","mic"
"2757","DUSP2","mic"
"2758","COMMD8","mic"
"2759","CYB561D1","mic"
"2760","MFSD11","mic"
"2761","ADRBK1","mic"
"2762","KCNN4","mic"
"2763","MIR142B","mic"
"2764","ARHGAP22","mic"
"2765","WDR81","mic"
"2766","NHLRC3","mic"
"2767","EMP3","mic"
"2768","TRP53COR1","mic"
"2769","ITPKC","mic"
"2770","IP6K3","mic"
"2771","COMTD1","mic"
"2772","DUOXA1","mic"
"2773","GM12247","mic"
"2774","ZSWIM4","mic"
"2775","LRRC34","mic"
"2776","DNASE1L3","mic"
"2777","CAPZB","mic"
"2778","COMP","mic"
"2779","GPR65","mic"
"2780","ZFP90","mic"
"2781","BC106179","mic"
"2782","ANAPC15","mic"
"2783","GM26656","mic"
"2784","PRG2","mic"
"2785","GNG10","mic"
"2786","GM38266","mic"
"2787","SH2B3","mic"
"2788","RBM38","mic"
"2789","RCC2","mic"
"2790","ZFP703","mic"
"2791","P2RX4","mic"
"2792","HEATR1","mic"
"2793","SLAMF1","mic"
"2794","NMT1","mic"
"2795","SERINC3","mic"
"2796","KLK8","mic"
"2797","CASC3","mic"
"2798","ACTB","mic"
"2799","PLAC8","mic"
"2800","HRH2","mic"
"2801","EGR3","mic"
"2802","GPR137B","mic"
"2803","FOLR2","mic"
"2804","VASP","mic"
"2805","IL1R2","mic"
"2806","SPHK1","mic"
"2807","RP23-480P21.3","mic"
"2808","DUSP27","mic"
"2809","GM572","mic"
"2810","GM13889","mic"
"2811","RP24-166N8.9","mic"
"2812","MIR23A","mic"
"2813","ELMSAN1","mic"
"2814","AP1B1","mic"
"2815","USB1","mic"
"2816","PPP1R15A","mic"
"2817","TRIM47","mic"
"2818","SOCS3","mic"
"2819","ARPC4","mic"
"2820","GM3052","mic"
"2821","RP23-27B23.9","mic"
"2822","TEC","mic"
"2823","TXNRD1","mic"
"2824","FBRS","mic"
"2825","RPTOROS","mic"
"2826","GM10369","mic"
"2827","CD300LD","mic"
"2828","PLA2G4D","mic"
"2829","RINL","mic"
"2830","GM28286","mic"
"2831","4833407H14RIK","mic"
"2832","TIMD4","mic"
"2833","SIGLECG","mic"
"2834","GM37152","mic"
"2835","HP","mic"
"2836","MTR","mic"
"2837","GM22710","mic"
"2838","DEPDC7","mic"
"2839","EDEM2","mic"
"2840","GM10138","mic"
"2841","GM38157","mic"
"2842","NFKBIA","mic"
"2843","TMEM221","mic"
"2844","TRIB1","mic"
"2845","ZFP513","mic"
"2846","AOAH","mic"
"2847","GAS6","mic"
"2848","P2RY2","mic"
"2849","GM2245","mic"
"2850","1200014J11RIK","mic"
"2851","DET1","mic"
"2852","JADE2","mic"
"2853","MAN1A","mic"
"2854","PNP2","mic"
"2855","NABP1","mic"
"2856","SOX15","mic"
"2857","REEP4","mic"
"2858","5730435O14RIK","mic"
"2859","MIR27A","mic"
"2860","GM7148","mic"
"2861","SULT1A1","mic"
"2862","CRADD","mic"
"2863","HEXIM1","mic"
"2864","GTF2H2","mic"
"2865","FGD3","mic"
"2866","WFDC17","mic"
"2867","3110080O07RIK","mic"
"2868","GM3667","mic"
"2869","GM27676","mic"
"2870","SLC29A3","mic"
"2871","IRF2BP2","mic"
"2872","BC037034","mic"
"2873","ERP29","mic"
"2874","SORD","mic"
"2875","1700015E13RIK","mic"
"2876","TLR6","mic"
"2877","PMP22","mic"
"2878","2010013B24RIK","mic"
"2879","ISCU","mic"
"2880","TM6SF1","mic"
"2881","GM16337","mic"
"2882","HYI","mic"
"2883","ARHGAP17","mic"
"2884","NXPE5","mic"
"2885","GM13250","mic"
"2886","SLC41A3","mic"
"2887","ASPH","mic"
"2888","IL1RL2","mic"
"2889","GM10116","mic"
"2890","CERK","mic"
"2891","RP24-142B15.6","mic"
"2892","FPR1","mic"
"2893","SNN","mic"
"2894","BMYC","mic"
"2895","4833445I07RIK","mic"
"2896","LRWD1","mic"
"2897","PLEKHM2","mic"
"2898","PLCL2","mic"
"2899","DYRK4","mic"
"2900","G630030J09RIK","mic"
"2901","TUBB1","mic"
"2902","ROGDI","mic"
"2903","GM15928","mic"
"2904","G430095P16RIK","mic"
"2905","TRPM2","mic"
"2906","JUND","mic"
"2907","GM37306","mic"
"2908","ITGB3","mic"
"2909","4930568A12RIK","mic"
"2910","ANKRD44","mic"
"2911","IGHJ1","mic"
"2912","GUSB","mic"
"2913","ARHGEF6","mic"
"2914","RP23-326H18.1","mic"
"2915","ZC3H10","mic"
"2916","EVL","mic"
"2917","GCN1L1","mic"
"2918","RP24-500I24.7","mic"
"2919","TRAF5","mic"
"2920","TUBA1C","mic"
"2921","PTGER1","mic"
"2922","GM16725","mic"
"2923","GM826","mic"
"2924","1600014C10RIK","mic"
"2925","VAV2","mic"
"2926","FHOD1","mic"
"2927","4930594C11RIK","mic"
"2928","GM4980","mic"
"2929","GM26541","mic"
"2930","GM17147","mic"
"2931","DVL2","mic"
"2932","PLA2G2D","mic"
"2933","4933403L11RIK","mic"
"2934","GM14963","mic"
"2935","NEK6","mic"
"2936","HAAO","mic"
"2937","GM10728","mic"
"2938","TGM1","mic"
"2939","GM16174","mic"
"2940","LPIN2","mic"
"2941","IFITM10","mic"
"2942","PECR","mic"
"2943","E130317F20RIK","mic"
"2944","MIR5107","mic"
"2945","GM16565","mic"
"2946","IRAK4","mic"
"2947","APOBEC3","mic"
"2948","TNFRSF1A","mic"
"2949","P2RX7","mic"
"2950","YKT6","mic"
"2951","IFNB1","mic"
"2952","EHBP1L1","mic"
"2953","ICOS","mic"
"2954","1700003F12RIK","mic"
"2955","CPN1","mic"
"2956","CDT1","mic"
"2957","UMPS","mic"
"2958","LBX2","mic"
"2959","XLR4B","mic"
"2960","IGKC","mic"
"2961","GM12304","mic"
"2962","TAPBPL","mic"
"2963","LASP1","mic"
"2964","SUSD1","mic"
"2965","TNS4","mic"
"2966","PFN1","mic"
"2967","PLBD1","mic"
"2968","PRDM1","mic"
"2969","IRG1","mic"
"2970","MFNG","mic"
"2971","ADAMTS16","mic"
"2972","PPP4C","mic"
"2973","JAK3","mic"
"2974","GM37352","mic"
"2975","CYTIP","mic"
"2976","NR6A1OS","mic"
"2977","IRF1","mic"
"2978","4833418N02RIK","mic"
"2979","SP110","mic"
"2980","GM5431","mic"
"2981","CD209D","mic"
"2982","TAP2","mic"
"2983","PKN1","mic"
"2984","TBL3","mic"
"2985","MED12L","mic"
"2986","B4GALT5","mic"
"2987","CLN8","mic"
"2988","SLC36A1","mic"
"2989","ST14","mic"
"2990","OPHN1","mic"
"2991","MOB3A","mic"
"2992","GM17705","mic"
"2993","TUBGCP5","mic"
"2994","IRAK2","mic"
"2995","CNPY3","mic"
"2996","LTB","mic"
"2997","0610039K10RIK","mic"
"2998","TNFRSF14","mic"
"2999","GALM","mic"
"3000","LRRK1","mic"
"3001","RELN","neu"
"3002","VIP","neu"
"3003","HTR3A","neu"
"3004","PENK","neu"
"3005","DLX6OS1","neu"
"3006","GAD2","neu"
"3007","SST","neu"
"3008","TAC2","neu"
"3009","NPY","neu"
"3010","DLX1","neu"
"3011","SLC17A6","neu"
"3012","NELL1","neu"
"3013","TMEM130","neu"
"3014","RXFP1","neu"
"3015","PCSK1","neu"
"3016","SYT1","neu"
"3017","PNOC","neu"
"3018","SNHG11","neu"
"3019","TRIM66","neu"
"3020","IGF1","neu"
"3021","USP29","neu"
"3022","CELF6","neu"
"3023","GAD1-PS","neu"
"3024","CRH","neu"
"3025","GABRG2","neu"
"3026","NDRG4","neu"
"3027","GPR83","neu"
"3028","ATP1A3","neu"
"3029","STMN2","neu"
"3030","NRN1","neu"
"3031","CLSTN2","neu"
"3032","SNAP25","neu"
"3033","A830018L16RIK","neu"
"3034","ROBO2","neu"
"3035","TRHDE","neu"
"3036","SPHKAP","neu"
"3037","MAL2","neu"
"3038","GREM2","neu"
"3039","SYT4","neu"
"3040","DLX5","neu"
"3041","RGS8","neu"
"3042","GPR22","neu"
"3043","5330417C22RIK","neu"
"3044","MAGEL2","neu"
"3045","GM14204","neu"
"3046","GRIN2A","neu"
"3047","SCG2","neu"
"3048","KCNQ5","neu"
"3049","VGF","neu"
"3050","NRIP3","neu"
"3051","CALN1","neu"
"3052","NHLH2","neu"
"3053","EPHA6","neu"
"3054","SV2B","neu"
"3055","BCL11A","neu"
"3056","ZMAT4","neu"
"3057","KCNIP4","neu"
"3058","CNTNAP2","neu"
"3059","VSNL1","neu"
"3060","CALB1","neu"
"3061","KCNS2","neu"
"3062","GRM2","neu"
"3063","SLC32A1","neu"
"3064","MRAP2","neu"
"3065","HPCA","neu"
"3066","GRIN2B","neu"
"3067","AI593442","neu"
"3068","CELF4","neu"
"3069","GLRA2","neu"
"3070","TRANK1","neu"
"3071","SP9","neu"
"3072","NYAP2","neu"
"3073","BCL11B","neu"
"3074","TRP73","neu"
"3075","RAB3C","neu"
"3076","KCNH7","neu"
"3077","PRMT8","neu"
"3078","GAP43","neu"
"3079","SYP","neu"
"3080","TH","neu"
"3081","SLC12A5","neu"
"3082","MARCH4","neu"
"3083","L1CAM","neu"
"3084","GALNTL6","neu"
"3085","ZFP804A","neu"
"3086","GPR12","neu"
"3087","NECAB1","neu"
"3088","DYNC1I1","neu"
"3089","CHD3OS","neu"
"3090","LRRC3B","neu"
"3091","SLC5A7","neu"
"3092","N28178","neu"
"3093","CPNE5","neu"
"3094","SERPINI1","neu"
"3095","CPNE4","neu"
"3096","SRRM4","neu"
"3097","NAPB","neu"
"3098","GRIA1","neu"
"3099","CACNA2D1","neu"
"3100","KLHL1","neu"
"3101","KCNC2","neu"
"3102","ATP6V1G2","neu"
"3103","NSG2","neu"
"3104","CDH8","neu"
"3105","RIMS3","neu"
"3106","ELMOD1","neu"
"3107","CACNA2D3","neu"
"3108","LHX5","neu"
"3109","SYNPR","neu"
"3110","BSN","neu"
"3111","CACNA1B","neu"
"3112","CPNE7","neu"
"3113","CDH9","neu"
"3114","SYN2","neu"
"3115","NPY2R","neu"
"3116","GABRA1","neu"
"3117","SYT5","neu"
"3118","ANKRD45","neu"
"3119","OLFM1","neu"
"3120","RBFOX1","neu"
"3121","NRXN3","neu"
"3122","LHFPL5","neu"
"3123","CHAT","neu"
"3124","MLLT11","neu"
"3125","RAB3B","neu"
"3126","AMER3","neu"
"3127","CACNG2","neu"
"3128","CELSR3","neu"
"3129","CHGB","neu"
"3130","SP8","neu"
"3131","CHRM3","neu"
"3132","VSTM2A","neu"
"3133","HCRTR2","neu"
"3134","CNKSR2","neu"
"3135","ELAVL2","neu"
"3136","PRKAR1B","neu"
"3137","NOS1","neu"
"3138","LPPR3","neu"
"3139","MEG3","neu"
"3140","CELF5","neu"
"3141","GDA","neu"
"3142","NPAS4","neu"
"3143","TENM2","neu"
"3144","NDST4","neu"
"3145","CNR1","neu"
"3146","INA","neu"
"3147","SLC18A3","neu"
"3148","COL25A1","neu"
"3149","SYNGR3","neu"
"3150","RALYL","neu"
"3151","PLA2G4E","neu"
"3152","ERC2","neu"
"3153","LGI2","neu"
"3154","SULT4A1","neu"
"3155","RESP18","neu"
"3156","UNC5D","neu"
"3157","RIAN","neu"
"3158","CBLN2","neu"
"3159","IQSEC3","neu"
"3160","ABLIM3","neu"
"3161","AAK1","neu"
"3162","SRRM4OS","neu"
"3163","SLC2A13","neu"
"3164","PNMA2","neu"
"3165","CNTNAP3","neu"
"3166","PNCK","neu"
"3167","LRFN5","neu"
"3168","PLCXD2","neu"
"3169","RAB6B","neu"
"3170","CAMK2B","neu"
"3171","RBFOX3","neu"
"3172","CACNG3","neu"
"3173","RP23-140B23.1","neu"
"3174","EFNA5","neu"
"3175","OXTR","neu"
"3176","GOLGA7B","neu"
"3177","SMIM18","neu"
"3178","HECW1","neu"
"3179","ZWINT","neu"
"3180","TBR1","neu"
"3181","NWD2","neu"
"3182","CRMP1","neu"
"3183","DPYSL5","neu"
"3184","KCNJ5","neu"
"3185","CNTNAP4","neu"
"3186","CAMTA1","neu"
"3187","MME","neu"
"3188","SVOP","neu"
"3189","ISLR2","neu"
"3190","SYT13","neu"
"3191","ABCC8","neu"
"3192","CRABP1","neu"
"3193","CKMT1","neu"
"3194","YWHAG","neu"
"3195","SYNDIG1L","neu"
"3196","CLVS1","neu"
"3197","CNTN5","neu"
"3198","BMP3","neu"
"3199","ARFGEF3","neu"
"3200","LONRF2","neu"
"3201","NEUROD1","neu"
"3202","ST8SIA2","neu"
"3203","THY1","neu"
"3204","DLX2","neu"
"3205","HS3ST4","neu"
"3206","CCK","neu"
"3207","DZANK1","neu"
"3208","SCN2A1","neu"
"3209","SLC7A14","neu"
"3210","ITGBL1","neu"
"3211","NEUROD6","neu"
"3212","STMN3","neu"
"3213","KCNIP2","neu"
"3214","ARHGAP15","neu"
"3215","SLC6A17","neu"
"3216","SNCA","neu"
"3217","CDH7","neu"
"3218","MTUS2","neu"
"3219","ANKRD35","neu"
"3220","GRPR","neu"
"3221","BC030500","neu"
"3222","PGM2L1","neu"
"3223","CADPS","neu"
"3224","RAB3A","neu"
"3225","RIPK4","neu"
"3226","FSTL5","neu"
"3227","VWC2L","neu"
"3228","DUSP14","neu"
"3229","CPLX2","neu"
"3230","ADCYAP1","neu"
"3231","SHANK2","neu"
"3232","FGF9","neu"
"3233","UBE2QL1","neu"
"3234","PLD5","neu"
"3235","LHX1OS","neu"
"3236","NYAP1","neu"
"3237","IGFBPL1","neu"
"3238","LHX1","neu"
"3239","CDR1","neu"
"3240","GABRA5","neu"
"3241","NXPH2","neu"
"3242","TMEM59L","neu"
"3243","CHRNB2","neu"
"3244","SLC35F4","neu"
"3245","GPRIN3","neu"
"3246","KCNA4","neu"
"3247","D130043K22RIK","neu"
"3248","RP24-253A20.1","neu"
"3249","LAMP5","neu"
"3250","GRM1","neu"
"3251","ACTL6B","neu"
"3252","KCNH1","neu"
"3253","KCTD8","neu"
"3254","SCN3B","neu"
"3255","DISP2","neu"
"3256","MYT1L","neu"
"3257","HTR2C","neu"
"3258","NRSN2","neu"
"3259","AJAP1","neu"
"3260","CAMK4","neu"
"3261","SEPT6","neu"
"3262","DLX6","neu"
"3263","FBXL16","neu"
"3264","HCN1","neu"
"3265","GDAP1","neu"
"3266","UCHL1","neu"
"3267","SCN2B","neu"
"3268","STXBP1","neu"
"3269","FABP3-PS1","neu"
"3270","RSPO3","neu"
"3271","DBN1","neu"
"3272","MLIP","neu"
"3273","WSCD2","neu"
"3274","ARHGAP44","neu"
"3275","GM10419","neu"
"3276","PEG3","neu"
"3277","SCN9A","neu"
"3278","KCNMB2","neu"
"3279","FIBCD1","neu"
"3280","CBLN4","neu"
"3281","RTN1","neu"
"3282","ECEL1","neu"
"3283","GM9866","neu"
"3284","CALB2","neu"
"3285","A930011O12RIK","neu"
"3286","CEP170B","neu"
"3287","EPHA3","neu"
"3288","RNF165","neu"
"3289","GRIN1","neu"
"3290","RIT2","neu"
"3291","SNCB","neu"
"3292","KIT","neu"
"3293","GM15881","neu"
"3294","DGKG","neu"
"3295","PRKAA2","neu"
"3296","LIN28B","neu"
"3297","ADARB2","neu"
"3298","COL19A1","neu"
"3299","TUBB3","neu"
"3300","A530058N18RIK","neu"
"3301","KCNV1","neu"
"3302","KCNB2","neu"
"3303","NPCD","neu"
"3304","LHX9","neu"
"3305","GDF5","neu"
"3306","GM16111","neu"
"3307","SLC10A4","neu"
"3308","PROKR2","neu"
"3309","ZBTB16","neu"
"3310","LYSMD4","neu"
"3311","NXPH4","neu"
"3312","MPPED1","neu"
"3313","SH2D5","neu"
"3314","CHAC1","neu"
"3315","HS3ST5","neu"
"3316","A830036E02RIK","neu"
"3317","SLC24A3","neu"
"3318","SLC7A4","neu"
"3319","FRMPD4","neu"
"3320","AR","neu"
"3321","KIF5C","neu"
"3322","KCNC1","neu"
"3323","EPHA7","neu"
"3324","NTRK1","neu"
"3325","SATB2","neu"
"3326","ENO2","neu"
"3327","KCNK9","neu"
"3328","ATP2B2","neu"
"3329","UNC5A","neu"
"3330","HCN4","neu"
"3331","ZFP711","neu"
"3332","CPNE6","neu"
"3333","PCDHAC2","neu"
"3334","FAM163B","neu"
"3335","TFR2","neu"
"3336","GPRIN1","neu"
"3337","ACHE","neu"
"3338","NAP1L2","neu"
"3339","PGR","neu"
"3340","PTH2R","neu"
"3341","GM10048","neu"
"3342","MYH8","neu"
"3343","KCTD16","neu"
"3344","FIBIN","neu"
"3345","REPS2","neu"
"3346","RP24-481I21.3","neu"
"3347","ELAVL4","neu"
"3348","LPPR4","neu"
"3349","PDE11A","neu"
"3350","SLC17A8","neu"
"3351","SOBP","neu"
"3352","CALM2","neu"
"3353","FGF13","neu"
"3354","MGAT4C","neu"
"3355","AOX4","neu"
"3356","PPM1E","neu"
"3357","GPR26","neu"
"3358","ZFP804B","neu"
"3359","PAQR9","neu"
"3360","CX3CL1","neu"
"3361","CORT","neu"
"3362","KCNJ9","neu"
"3363","1700001L19RIK","neu"
"3364","KCNJ3","neu"
"3365","MCHR1","neu"
"3366","B4GALNT4","neu"
"3367","A830039N20RIK","neu"
"3368","CDH12","neu"
"3369","GDAP1L1","neu"
"3370","TSPYL4","neu"
"3371","GPR158","neu"
"3372","NSF","neu"
"3373","BHLHE22","neu"
"3374","CNNM1","neu"
"3375","SLC6A15","neu"
"3376","TCEAL5","neu"
"3377","GM27199","neu"
"3378","CELF3","neu"
"3379","GM38020","neu"
"3380","NEUROD2","neu"
"3381","DNAH1","neu"
"3382","SNAP91","neu"
"3383","CNIH3","neu"
"3384","MIRG","neu"
"3385","ATL1","neu"
"3386","NOV","neu"
"3387","GPRASP2","neu"
"3388","NPTX1","neu"
"3389","ZC2HC1A","neu"
"3390","ACKR1","neu"
"3391","CCDC148","neu"
"3392","LYPD6B","neu"
"3393","DMTN","neu"
"3394","IGSF9","neu"
"3395","CPLX1","neu"
"3396","GM3510","neu"
"3397","RUNX1T1","neu"
"3398","4921534H16RIK","neu"
"3399","TCERG1L","neu"
"3400","LHX8","neu"
"3401","SSTR2","neu"
"3402","BEX2","neu"
"3403","CHN1","neu"
"3404","ZFP385B","neu"
"3405","CAR10","neu"
"3406","HERC3","neu"
"3407","SMIM17","neu"
"3408","MIR344G","neu"
"3409","GPRASP1","neu"
"3410","TRPC5","neu"
"3411","EFNA3","neu"
"3412","SYN1","neu"
"3413","CGN","neu"
"3414","PPFIA2","neu"
"3415","KCNAB1","neu"
"3416","CDKL2","neu"
"3417","STX1B","neu"
"3418","DKKL1","neu"
"3419","BARHL2","neu"
"3420","ZCCHC12","neu"
"3421","RGS17","neu"
"3422","B3GALNT1","neu"
"3423","PRKCE","neu"
"3424","SYT16","neu"
"3425","PPP3R1","neu"
"3426","GM13306","neu"
"3427","FAM65B","neu"
"3428","E130309D14RIK","neu"
"3429","SEL1L3","neu"
"3430","SEMA3A","neu"
"3431","SCUBE3","neu"
"3432","MAGEE2","neu"
"3433","C230004F18RIK","neu"
"3434","COCH","neu"
"3435","STAC2","neu"
"3436","OLFM3","neu"
"3437","HSPA12A","neu"
"3438","CIDEA","neu"
"3439","DNM1","neu"
"3440","FBXW7","neu"
"3441","GM11549","neu"
"3442","TENM1","neu"
"3443","SYT14","neu"
"3444","NEGR1","neu"
"3445","TACR1","neu"
"3446","2010107G23RIK","neu"
"3447","D430041D05RIK","neu"
"3448","PAK6","neu"
"3449","CACNG5","neu"
"3450","ST8SIA5","neu"
"3451","STK32B","neu"
"3452","FAT3","neu"
"3453","PACSIN1","neu"
"3454","GJD2","neu"
"3455","9130024F11RIK","neu"
"3456","ARHGAP36","neu"
"3457","KSR2","neu"
"3458","RGS11","neu"
"3459","HOOK1","neu"
"3460","2900055J20RIK","neu"
"3461","6430548M08RIK","neu"
"3462","RP23-394G5.1","neu"
"3463","GM32444","neu"
"3464","CPLX3","neu"
"3465","BAIAP3","neu"
"3466","PLCZ1","neu"
"3467","LIN7B","neu"
"3468","ASNS","neu"
"3469","CTXN2","neu"
"3470","SH3GL2","neu"
"3471","GABRG3","neu"
"3472","FAXC","neu"
"3473","PELI3","neu"
"3474","SLC2A6","neu"
"3475","FKBP1B","neu"
"3476","DIRAS2","neu"
"3477","SYT7","neu"
"3478","PTPRN2","neu"
"3479","RP23-304A10.2","neu"
"3480","DDX25","neu"
"3481","CACNA2D2","neu"
"3482","CNTN3","neu"
"3483","5730522E02RIK","neu"
"3484","PPP3CB","neu"
"3485","CYP4X1","neu"
"3486","CLSTN3","neu"
"3487","PCP4","neu"
"3488","NDN","neu"
"3489","ANKRD55","neu"
"3490","RPP25","neu"
"3491","GNG2","neu"
"3492","ZFP821","neu"
"3493","PCLO","neu"
"3494","ISL1","neu"
"3495","OPRM1","neu"
"3496","GUCY1A2","neu"
"3497","GM16485","neu"
"3498","NECAP1","neu"
"3499","FLYWCH2","neu"
"3500","SYT3","neu"
"3501","TNFAIP8L3","neu"
"3502","SLC38A4","neu"
"3503","L3MBTL1","neu"
"3504","FAM183B","neu"
"3505","ANKRD34A","neu"
"3506","PCNXL2","neu"
"3507","CAMKV","neu"
"3508","NKX2-1","neu"
"3509","DNAJC27","neu"
"3510","ATP1B1","neu"
"3511","PAK3","neu"
"3512","GALNT9","neu"
"3513","PIK3C2G","neu"
"3514","CHRM2","neu"
"3515","CNRIP1","neu"
"3516","EPHB6","neu"
"3517","KCNIP1","neu"
"3518","NIPSNAP1","neu"
"3519","ATP2B3","neu"
"3520","GM26901","neu"
"3521","AI504432","neu"
"3522","SCG5","neu"
"3523","SNHG14","neu"
"3524","NNMT","neu"
"3525","HTR7","neu"
"3526","PTPRN","neu"
"3527","KCNT1","neu"
"3528","TMEM158","neu"
"3529","ADCY1","neu"
"3530","GFRA4","neu"
"3531","GRIP1","neu"
"3532","INHA","neu"
"3533","RP23-187D22.9","neu"
"3534","CRHBP","neu"
"3535","STAP1","neu"
"3536","LINGO2","neu"
"3537","MAP1B","neu"
"3538","PDP1","neu"
"3539","RAB9B","neu"
"3540","TSPYL5","neu"
"3541","MMP24","neu"
"3542","ZDBF2","neu"
"3543","RP23-187D22.1","neu"
"3544","B830012L14RIK","neu"
"3545","USP11","neu"
"3546","GRM7","neu"
"3547","TRPC4","neu"
"3548","SEZ6","neu"
"3549","A230006K03RIK","neu"
"3550","CHD5","neu"
"3551","TMEM169","neu"
"3552","GNAL","neu"
"3553","CDKL5","neu"
"3554","LRTM1","neu"
"3555","MAB21L1","neu"
"3556","MAPK10","neu"
"3557","VMN2R1","neu"
"3558","VASH2","neu"
"3559","NPY1R","neu"
"3560","INSM2","neu"
"3561","CYB561","neu"
"3562","FSTL4","neu"
"3563","TMEM151B","neu"
"3564","KCNF1","neu"
"3565","SMS","neu"
"3566","MAP9","neu"
"3567","RAB15","neu"
"3568","RP23-140B23.2","neu"
"3569","EBF2","neu"
"3570","RAB26","neu"
"3571","HTR3B","neu"
"3572","SLC35F3","neu"
"3573","SLC25A22","neu"
"3574","RIMS4","neu"
"3575","FAM169A","neu"
"3576","C530050E15RIK","neu"
"3577","PITPNM3","neu"
"3578","SLC2A3","neu"
"3579","BEND6","neu"
"3580","EOMES","neu"
"3581","GABRB3","neu"
"3582","SLITRK4","neu"
"3583","DLX1AS","neu"
"3584","RP23-187D22.8","neu"
"3585","RP24-296L6.2","neu"
"3586","A330050F15RIK","neu"
"3587","LYRM9","neu"
"3588","GSPT2","neu"
"3589","SV2C","neu"
"3590","NEFM","neu"
"3591","VSTM2L","neu"
"3592","WIPF3","neu"
"3593","RGS7BP","neu"
"3594","CALY","neu"
"3595","SGTB","neu"
"3596","CHRNA3","neu"
"3597","CHRD","neu"
"3598","SYNJ1","neu"
"3599","FBLL1","neu"
"3600","RP23-187D22.5","neu"
"3601","MET","neu"
"3602","TMX4","neu"
"3603","CHRNA7","neu"
"3604","UBAP1L","neu"
"3605","RBP4","neu"
"3606","GM38393","neu"
"3607","DMXL2","neu"
"3608","KCNAB3","neu"
"3609","PRPS1L3","neu"
"3610","XKR7","neu"
"3611","ARMCX1","neu"
"3612","GM38299","neu"
"3613","RIMBP2","neu"
"3614","WIF1","neu"
"3615","DNAJB5","neu"
"3616","AMY2B","neu"
"3617","SLC6A7","neu"
"3618","MICU3","neu"
"3619","BAG4","neu"
"3620","FAM155A","neu"
"3621","GM37633","neu"
"3622","CEP126","neu"
"3623","ASB11","neu"
"3624","SPATA2L","neu"
"3625","PPP3CA","neu"
"3626","THSD7A","neu"
"3627","PRKAR2B","neu"
"3628","THSD7B","neu"
"3629","CLEC2L","neu"
"3630","NSG1","neu"
"3631","RTN4R","neu"
"3632","SNRPN","neu"
"3633","CDKL1","neu"
"3634","PLCB1","neu"
"3635","TENM4","neu"
"3636","CACNB2","neu"
"3637","GM27000","neu"
"3638","TMEM145","neu"
"3639","GNL3L","neu"
"3640","CEND1","neu"
"3641","4930447C04RIK","neu"
"3642","NGF","neu"
"3643","EXPH5","neu"
"3644","PCSK2","neu"
"3645","GRM8","neu"
"3646","FKBP3","neu"
"3647","EPHA10","neu"
"3648","STAU2","neu"
"3649","RPH3A","neu"
"3650","LHX6","neu"
"3651","HS6ST3","neu"
"3652","TMEM178","neu"
"3653","CLDN1","neu"
"3654","FMN1","neu"
"3655","CPNE9","neu"
"3656","GM38202","neu"
"3657","NUMBL","neu"
"3658","1110002E22RIK","neu"
"3659","CLSTN1","neu"
"3660","TTC3","neu"
"3661","GABRD","neu"
"3662","GNG3","neu"
"3663","POU6F2","neu"
"3664","HDGFRP3","neu"
"3665","MTMR7","neu"
"3666","YPEL4","neu"
"3667","RBFOX2","neu"
"3668","GM16011","neu"
"3669","VWC2","neu"
"3670","ANKRD34C","neu"
"3671","SLC38A1","neu"
"3672","GM38243","neu"
"3673","SLC27A2","neu"
"3674","FAM131A","neu"
"3675","LANCL3","neu"
"3676","DLGAP2","neu"
"3677","RP23-309G12.2","neu"
"3678","DOC2A","neu"
"3679","FAM81A","neu"
"3680","P2RX5","neu"
"3681","ATCAY","neu"
"3682","NAP1L3","neu"
"3683","NRG3","neu"
"3684","SHISA6","neu"
"3685","PTPN3","neu"
"3686","1600029O15RIK","neu"
"3687","FXYD7","neu"
"3688","FAM49A","neu"
"3689","SPRYD3","neu"
"3690","CIT","neu"
"3691","DOS","neu"
"3692","SNX16","neu"
"3693","GABRB2","neu"
"3694","NANOS1","neu"
"3695","RP24-158C2.4","neu"
"3696","LRP11","neu"
"3697","CCKBR","neu"
"3698","USP13","neu"
"3699","NAPG","neu"
"3700","SAMD3","neu"
